,Unnamed: 0,symbol,name,lastsale,marketcap,ipoyear,sector,industry,current_price,current_price_to_book_date,current_price_to_book,price_to_book_q1,price_to_book_q2,price_to_book_q3,price_to_book_q4
0,0,TXG,"10x Genomics, Inc.",95.85,$9.43B,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,94.65,2020-07-14,21.38,,,,
1,1,YI,"111, Inc.",6.29,$518.04M,2018.0,Health Care,Medical/Nursing Services,6.14,2020-07-09,5.79,4.98,4.09,2.76,2.85
2,2,PIH,"1347 Property Insurance Holdings, Inc.",4.5201,$27.43M,2014.0,Finance,Property-Casualty Insurers,4.56,2020-07-21,0.73,0.65,0.88,0.63,0.65
3,3,PIHPP,"1347 Property Insurance Holdings, Inc.",24.9,,,Finance,Property-Casualty Insurers,24.90,,,,,,
4,4,TURN,180 Degree Capital Corp.,1.75,$54.46M,,Finance,Finance/Investors Services,1.76,2020-04-13,0.45,,,,
5,5,FLWS,"1-800-FLOWERS.COM, Inc.",25.3,$1.63B,1999.0,Consumer Services,Other Specialty Stores,25.16,2020-07-09,3.63,2.12,2.85,2.79,3.49
6,6,BCOW,"1895 Bancorp of Wisconsin, Inc.",9.4504,$46.88M,2019.0,Finance,Banks,8.84,2020-05-07,0.68,0.66,0.90,0.82,0.82
7,7,ONEM,"1Life Healthcare, Inc.",36.63,$4.62B,2020.0,Health Care,Medical/Nursing Services,35.58,2020-07-21,10.43,,,,
8,8,FCCY,1st Constitution Bancorp (NJ),12.26,$125.07M,,Finance,Savings Institutions,11.90,2020-04-13,0.73,0.79,1.63,1.21,1.22
9,9,SRCE,1st Source Corporation,35.06,$895.28M,,Finance,Major Banks,34.65,2020-07-23,1.05,1.00,1.63,1.47,1.52
10,10,VNET,"21Vianet Group, Inc.",22.17,$2.5B,2011.0,Technology,"Computer Software: Programming, Data Processing",22.00,2020-04-13,2.22,2.25,1.17,1.21,1.19
11,11,TWOU,"2U, Inc.",43.93,$2.81B,2014.0,Technology,Computer Software: Prepackaged Software,42.23,2020-07-16,4.03,1.90,2.08,1.20,3.43
12,12,QFIN,"360 Finance, Inc.",13.61,$2B,2018.0,Finance,Finance: Consumer Services,13.15,2020-05-06,1.22,1.16,1.49,1.54,2.24
13,13,KRKR,36Kr Holdings Inc.,3.4303,$128.62M,2019.0,Miscellaneous,Business Services,3.45,,,,,,
14,14,JOBS,"51job, Inc.",67.87,$4.54B,2004.0,Technology,Diversified Commercial Services,66.48,,,,,,
15,15,ETNB,"89bio, Inc.",32.78,$552.42M,2019.0,Health Care,Major Pharmaceuticals,31.67,2020-07-21,7.35,,,,
16,16,JFK,8i Enterprises Acquisition Corp,10.28,$76.35M,2019.0,Finance,Business Services,10.28,,,,,,
17,17,JFKKR,8i Enterprises Acquisition Corp,0.4,,2019.0,Finance,Business Services,,,,,,,
18,18,JFKKU,8i Enterprises Acquisition Corp,11.89,,2019.0,Finance,Business Services,11.50,,,,,,
19,19,JFKKW,8i Enterprises Acquisition Corp,0.395,,2019.0,Finance,Business Services,,,,,,,
20,20,EGHT,8x8 Inc,16.64,$1.73B,,Technology,EDP Services,16.11,,,,,,
21,21,NMTR,"9 Meters Biopharma, Inc.",0.5379,$51.77M,2018.0,Health Care,Major Pharmaceuticals,0.51,,,,,,
22,22,JFU,9F Inc.,1.99,$388.43M,2019.0,Finance,Finance: Consumer Services,1.77,2020-07-10,0.57,,,,
23,23,AAON,"AAON, Inc.",58.49,$3.04B,,Capital Goods,Industrial Machinery/Components,57.64,2020-04-13,8.57,8.67,9.20,9.05,10.08
24,24,ABEO,Abeona Therapeutics Inc.,2.95,$246.91M,,Health Care,Major Pharmaceuticals,2.88,2020-07-14,1.79,0.98,2.85,1.08,2.00
25,25,ABMD,"ABIOMED, Inc.",294.57,$13.27B,,Health Care,Medical/Dental Instruments,292.94,2020-07-16,11.54,6.24,7.76,8.03,12.62
26,26,AXAS,Abraxas Petroleum Corporation,0.2315,$38.91M,,Energy,Oil & Gas Production,0.22,2020-06-04,0.21,0.12,0.34,0.55,1.22
27,27,ACIU,AC Immune SA,6.66,$478.58M,2016.0,Health Care,Major Pharmaceuticals,6.90,2020-07-10,1.80,1.75,2.03,1.21,1.51
28,28,ACIA,"Acacia Communications, Inc.",67.69,$2.83B,2016.0,Technology,Semiconductors,67.60,2020-07-22,4.69,4.85,5.07,5.09,3.72
29,29,ACTG,Acacia Research Corporation,4.02,$195.8M,,Miscellaneous,Multi-Sector Companies,4.07,2020-07-23,1.22,0.64,0.78,0.75,0.80
30,30,ACHC,"Acadia Healthcare Company, Inc.",28.97,$2.58B,,Health Care,Medical Specialities,28.91,2020-07-22,1.03,0.64,1.20,1.12,1.27
31,31,ACAD,ACADIA Pharmaceuticals Inc.,43.75,$6.82B,1985.0,Health Care,Major Pharmaceuticals,43.46,2020-07-16,13.33,9.39,9.64,14.21,9.23
32,32,ACAM,Acamar Partners Acquisition Corp.,10.32,$394.19M,2019.0,Finance,Business Services,10.45,2020-05-15,1.28,,,,
33,33,ACAMU,Acamar Partners Acquisition Corp.,10.65,,2019.0,Finance,Business Services,10.67,,,,,,
34,34,ACAMW,Acamar Partners Acquisition Corp.,1.0799,,2019.0,Finance,Business Services,,,,,,,
35,35,ACST,"Acasti Pharma, Inc.",0.6696,$61.93M,,Health Care,Major Pharmaceuticals,0.67,,,,,,
36,36,AXDX,"Accelerate Diagnostics, Inc.",16.56,$915.28M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,15.60,,,,,,
37,37,ACCP,"Accelerated Pharma, Inc.",,,,,,,,,,,,
38,38,XLRN,Acceleron Pharma Inc.,110.25,$6.56B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),106.15,2020-03-13,9.68,10.70,6.06,4.19,4.24
39,39,ACCD,"Accolade, Inc.",32.54,$1.59B,2020.0,,,32.94,,,,,,
40,40,ARAY,Accuray Incorporated,2.3,$208.07M,2007.0,Health Care,Medical/Dental Instruments,2.21,2020-07-22,3.42,3.07,6.22,4.92,7.19
41,41,ACEV,ACE Convergence Acquisition Corp.,,,,,,,,,,,,
42,42,ACLL,"ACell, Inc.",,,,Health Care,Medical/Dental Instruments,,,,,,,
43,43,ACRX,"AcelRx Pharmaceuticals, Inc.",1.12,$90.46M,2011.0,Health Care,Major Pharmaceuticals,1.18,,,,,,
44,44,ACER,Acer Therapeutics Inc.,3.27,$33.51M,,Health Care,Major Pharmaceuticals,3.31,2020-07-16,2.44,1.09,1.77,1.17,1.04
45,45,ACHV,"Achieve Life Sciences, Inc. ",0.464,$17.41M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,0.49,2020-04-20,0.66,0.57,1.92,1.20,1.53
46,46,ACIW,"ACI Worldwide, Inc.",27.785,$3.22B,,Technology,Computer Software: Prepackaged Software,27.19,2020-05-01,2.72,2.48,4.15,3.44,3.88
47,47,ACRS,"Aclaris Therapeutics, Inc.",2.24,$93.78M,2015.0,Health Care,Major Pharmaceuticals,2.15,2020-07-23,1.61,0.62,0.92,0.33,0.50
48,48,ACMR,"ACM Research, Inc.",87.74,$1.6B,2017.0,Technology,Industrial Machinery/Components,85.02,2020-06-19,11.10,5.53,3.64,4.19,4.52
49,49,ACNB,ACNB Corporation,22.67,$196.55M,,Finance,Major Banks,22.64,2020-07-17,0.82,1.37,1.44,1.34,1.61
50,50,ACOR,"Acorda Therapeutics, Inc.",0.8017,$38.47M,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.76,,,,,,
51,51,ATVI,"Activision Blizzard, Inc",79.61,$61.34B,,Technology,Computer Software: Prepackaged Software,79.99,2020-07-22,4.80,3.58,3.73,3.39,3.12
52,52,ADMS,"Adamas Pharmaceuticals, Inc.",2.61,$73.49M,2014.0,Health Care,Major Pharmaceuticals,2.60,,,,,,
53,53,ADMP,Adamis Pharmaceuticals Corporation,1.02,$75.4M,,Health Care,Major Pharmaceuticals,1.05,2020-04-23,0.75,0.73,1.07,1.28,1.56
54,54,AHCO,AdaptHealth Corp. ,18.495,$1.83B,2018.0,Health Care,Medical/Nursing Services,18.54,,,,,,
55,55,ADAP,Adaptimmune Therapeutics plc,9.31,$1.43B,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),8.80,,,,,,
56,56,ADPT,Adaptive Biotechnologies Corporation,37.06,$4.75B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),36.33,2020-07-08,11.23,,,,
57,57,ADXN,Addex Therapeutics Ltd,7.0,,,Health Care,Major Pharmaceuticals,10.10,,,,,,
58,58,ADUS,Addus HomeCare Corporation,94.9,$1.48B,2009.0,Health Care,Medical/Nursing Services,93.37,2020-07-20,2.87,,,,
