,Symbol,Name,MarketCap,IPOyear,Sector,industry
0,TXG,"10x Genomics, Inc.",$9.08B,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
1,YI,"111, Inc.",$555.1M,2018.0,Health Care,Medical/Nursing Services
2,PIH,"1347 Property Insurance Holdings, Inc.",$27.52M,2014.0,Finance,Property-Casualty Insurers
3,PIHPP,"1347 Property Insurance Holdings, Inc.",,,Finance,Property-Casualty Insurers
4,TURN,180 Degree Capital Corp.,$52.28M,,Finance,Finance/Investors Services
5,FLWS,"1-800-FLOWERS.COM, Inc.",$1.41B,1999.0,Consumer Services,Other Specialty Stores
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",$47.87M,2019.0,Finance,Banks
7,ONEM,"1Life Healthcare, Inc.",$5.05B,2020.0,Health Care,Medical/Nursing Services
8,FCCY,1st Constitution Bancorp (NJ),$119.05M,,Finance,Savings Institutions
9,SRCE,1st Source Corporation,$814.08M,,Finance,Major Banks
10,VNET,"21Vianet Group, Inc.",$3.27B,2011.0,Technology,"Computer Software: Programming, Data Processing"
11,TWOU,"2U, Inc.",$2.63B,2014.0,Technology,Computer Software: Prepackaged Software
12,QFIN,"360 Finance, Inc.",$2.29B,2018.0,Finance,Finance: Consumer Services
13,KRKR,36Kr Holdings Inc.,$152.6M,2019.0,Miscellaneous,Business Services
14,JOBS,"51job, Inc.",$4.76B,2004.0,Technology,Diversified Commercial Services
15,ETNB,"89bio, Inc.",$456.3M,2019.0,Health Care,Major Pharmaceuticals
16,JFK,8i Enterprises Acquisition Corp,$75.02M,2019.0,Finance,Business Services
17,JFKKR,8i Enterprises Acquisition Corp,,2019.0,Finance,Business Services
18,JFKKU,8i Enterprises Acquisition Corp,,2019.0,Finance,Business Services
19,JFKKW,8i Enterprises Acquisition Corp,,2019.0,Finance,Business Services
20,EGHT,8x8 Inc,$1.69B,,Technology,EDP Services
21,NMTR,"9 Meters Biopharma, Inc.",$55.82M,2018.0,Health Care,Major Pharmaceuticals
22,JFU,9F Inc.,$534.82M,2019.0,Finance,Finance: Consumer Services
23,AAON,"AAON, Inc.",$2.78B,,Capital Goods,Industrial Machinery/Components
24,ABEO,Abeona Therapeutics Inc.,$280.39M,,Health Care,Major Pharmaceuticals
